cr,name,type,size,alignment,armor_class,hit_points,speed,initiative_bonus,ability_stats,blockers,mechanics,ability_names,traits,actions,bonus_actions,reactions,legendary_actions,raw_text,source_reference
0,Homunculus,Construct,Tiny,Neutral,13,4 (1d4 + 2),"20 ft., Fly 40 ft.",2,"{""str"":{""score"":4,""mod"":-3,""save"":-3},""dex"":{""score"":15,""mod"":2,""save"":2},""con"":{""score"":14,""mod"":2,""save"":2},""int"":{""score"":10,""mod"":0,""save"":0},""wis"":{""score"":10,""mod"":0,""save"":2},""cha"":{""score"":7,""mod"":-2,""save"":0}}",condition-or-control | save-or-complex-action,attack-roll | condition:poisoned | condition:unconscious | damage | damage:piercing | saving-throw,action:Bite,"Telepathic Bond. While the homunculus is on the same plane of existence as its master, the two of them can communicate telepathically with each other.","Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 1 Piercing damage, and the target is subjected to the following effect. Constitution Saving Throw: DC 12. Failure: The target has the Poisoned condition until the end of the homunculus’s next turn. Failure by 5 or More: The target has the Poisoned condition for 1 minute. While Poisoned, the target has the Unconscious condition, which ends early if the target takes any damage.",,,,"AC 13 Initiative +2 (12) HP 4 (1d4 + 2) Speed 20 ft., Fly 40 ft. MOD SAVE MOD SAVE MOD SAVE Str 4 -3 -3 Dex 15 +2 +2 Con 14 +2 +2 Int 10 +0 +0 Wis 10 +0 +2 Cha 7 -2 +0 Immunities Poison; Charmed, Poisoned Senses Darkvision 60 ft.; Passive Perception 10 Languages Understands Common plus one other language but can’t speak CR 0 (XP 10; PB +2) Traits Telepathic Bond. While the homunculus is on the same plane of existence as its master, the two of them can communicate telepathically with each other. Actions Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 1 Piercing damage, and the target is subjected to the following effect. Constitution Saving Throw: DC 12. Failure: The target has the Poisoned condition until the end of the homunculus’s next turn. Failure by 5 or More: The target has the Poisoned condition for 1 minute. While Poisoned, the target has the Unconscious condition, which ends early if the target takes any damage.",SRD 5.2.1 p. 299
0,Octopus,Beast,Small,Unaligned,12,3 (1d6),"5 ft., Swim 30 ft.",2,"{""str"":{""score"":4,""mod"":-3,""save"":-3},""dex"":{""score"":15,""mod"":2,""save"":2},""con"":{""score"":11,""mod"":0,""save"":0},""int"":{""score"":3,""mod"":-4,""save"":-4},""wis"":{""score"":10,""mod"":0,""save"":0},""cha"":{""score"":4,""mod"":-3,""save"":-3}}",limited-use | reaction,attack-roll | aura | damage | damage:bludgeoning | limited-use,action:Tentacles | reaction:Ink Cloud (1/Day),Compression. The octopus can move through a space as narrow as 1 inch without expending extra movement to do so. Water Breathing. The octopus can breathe only underwater.,"Tentacles. Melee Attack Roll: +4, reach 5 ft. Hit: 1 Bludgeoning damage.",,"Ink Cloud (1/Day). Trigger: A creature ends its turn within 5 feet of the octopus while underwater. Response: The octopus releases ink that fills a 5-foot Cube centered on itself, and the octopus moves up to its Swim Speed. The Cube is Heavily Obscured for 1 minute or until a strong current or similar effect disperses the ink.",,"AC 12 Initiative +2 (12) HP 3 (1d6) Speed 5 ft., Swim 30 ft.

MOD SAVE MOD SAVE MOD SAVE Str 4 -3 -3 Dex 15 +2 +2 Con 11 +0 +0 Int 3 -4 -4 Wis 10 +0 +0 Cha 4 -3 -3 Skills Perception +2, Stealth +6 Senses Darkvision 30 ft.; Passive Perception 12 Languages None CR 0 (XP 10; PB +2) Traits Compression. The octopus can move through a space as narrow as 1 inch without expending extra movement to do so. Water Breathing. The octopus can breathe only underwater. Actions Tentacles. Melee Attack Roll: +4, reach 5 ft. Hit: 1 Bludgeoning damage. Reactions Ink Cloud (1/Day). Trigger: A creature ends its turn within 5 feet of the octopus while underwater. Response: The octopus releases ink that fills a 5-foot Cube centered on itself, and the octopus moves up to its Swim Speed. The Cube is Heavily Obscured for 1 minute or until a strong current or similar effect disperses the ink.",SRD 5.2.1 p. 357
1/4,Dretch,Fiend (Demon),Small,Chaotic Evil,11,18 (4d6 + 4),20 ft.,0,"{""str"":{""score"":12,""mod"":1,""save"":1},""dex"":{""score"":11,""mod"":0,""save"":0},""con"":{""score"":12,""mod"":1,""save"":1},""int"":{""score"":5,""mod"":-3,""save"":-3},""wis"":{""score"":8,""mod"":-1,""save"":-1},""cha"":{""score"":3,""mod"":-4,""save"":-4}}",condition-or-control | limited-use | save-or-complex-action,attack-roll | bonus-action | condition:poisoned | damage | damage:slashing | limited-use | saving-throw,action:Rend | action:Fetid Cloud (1/Day),,"Rend. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1) Slashing damage. Fetid Cloud (1/Day). Constitution Saving Throw: DC 11, each creature in a 10-foot Emanation originating from the dretch. Failure: The target has the Poisoned condition until the end of its next turn. While Poisoned, the creature can take either an action or a Bonus Action on its turn, not both, and it can’t take Reactions.",,,,"AC 11 Initiative +0 (10) HP 18 (4d6 + 4) Speed 20 ft. MOD SAVE MOD SAVE MOD SAVE Str 12 +1 +1 Dex 11 +0 +0 Con 12 +1 +1 Int 5 -3 -3 Wis 8 -1 -1 Cha 3 -4 -4 Resistances Cold, Fire, Lightning Immunities Poison; Poisoned Senses Darkvision 60 ft.; Passive Perception 9 Languages Abyssal; telepathy 60 ft. (works only with creatures that understand Abyssal) CR 1/4 (XP 50; PB +2) Actions Rend. Melee Attack Roll: +3, reach 5 ft. Hit: 4 (1d6 + 1) Slashing damage. Fetid Cloud (1/Day). Constitution Saving Throw: DC 11, each creature in a 10-foot Emanation originating from the dretch. Failure: The target has the Poisoned condition until the end of its next turn. While Poisoned, the creature can take either an action or a Bonus Action on its turn, not both, and it can’t take Reactions.",SRD 5.2.1 p. 281
1/4,Priest Acolyte,Humanoid (Cleric),Medium or Small,Neutral,13,11 (2d8 + 2),30 ft.,0,"{""str"":{""score"":14,""mod"":2,""save"":2},""dex"":{""score"":10,""mod"":0,""save"":0},""con"":{""score"":12,""mod"":1,""save"":1},""int"":{""score"":10,""mod"":0,""save"":0},""wis"":{""score"":14,""mod"":2,""save"":2},""cha"":{""score"":11,""mod"":0,""save"":0}}",bonus-action | limited-use | spellcasting,attack-roll | damage | damage:bludgeoning | damage:radiant | limited-use | spellcasting,action:Mace | action:Radiant Flame | action:Spellcasting | bonus-action:Divine Aid (1/Day),,"Mace. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Bludgeoning damage plus 2 (1d4) Radiant damage. Radiant Flame. Ranged Attack Roll: +4, range 60 ft. Hit: 7 (2d6) Radiant damage. Spellcasting. The priest casts one of the following spells, using Wisdom as the spellcasting ability: At Will: Light, Thaumaturgy","Divine Aid (1/Day). The priest casts Bless, Healing Word, or Sanctuary, using the same spellcasting ability as Spellcasting.",,,"AC 13 Initiative +0 (10) HP 11 (2d8 + 2) Speed 30 ft. MOD SAVE MOD SAVE MOD SAVE Str 14 +2 +2 Dex 10 +0 +0 Con 12 +1 +1 Int 10 +0 +0 Wis 14 +2 +2 Cha 11 +0 +0 Skills Medicine +4, Religion +2 Gear Chain Shirt, Holy Symbol, Mace Senses Passive Perception 12 Languages Common CR 1/4 (XP 50; PB +2) Actions Mace. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Bludgeoning damage plus 2 (1d4) Radiant damage. Radiant Flame. Ranged Attack Roll: +4, range 60 ft. Hit: 7 (2d6) Radiant damage. Spellcasting. The priest casts one of the following spells, using Wisdom as the spellcasting ability: At Will: Light, Thaumaturgy Bonus Actions Divine Aid (1/Day). The priest casts Bless, Healing Word, or Sanctuary, using the same spellcasting ability as Spellcasting.",SRD 5.2.1 p. 316
1/4,Pseudodragon,Dragon,Tiny,Neutral Good,14,10 (3d4 + 3),"15 ft., Fly 60 ft.",2,"{""str"":{""score"":6,""mod"":-2,""save"":-2},""dex"":{""score"":15,""mod"":2,""save"":2},""con"":{""score"":13,""mod"":1,""save"":1},""int"":{""score"":10,""mod"":0,""save"":0},""wis"":{""score"":12,""mod"":1,""save"":1},""cha"":{""score"":10,""mod"":0,""save"":0}}",condition-or-control | save-or-complex-action,advantage | attack-roll | aura | condition:poisoned | condition:unconscious | damage | damage:piercing | damage:poison | multiattack | saving-throw,trait:Magic Resistance | action:Multiattack | action:Bite | action:Sting,Magic Resistance. The pseudodragon has Advantage on saving throws against spells and other magical effects.,"Multiattack. The pseudodragon makes two Bite attacks. Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Piercing damage. Sting. Constitution Saving Throw: DC 12, one creature the pseudodragon can see within 5 feet. Failure: 5 (2d4) Poison damage, and the target has the Poisoned condition for 1 hour. Failure by 5 or More: While Poisoned, the target also has the Unconscious condition, which ends early if the target takes damage or a creature within 5 feet of it takes an action to wake it.",,,,"AC 14 Initiative +2 (12) HP 10 (3d4 + 3) Speed 15 ft., Fly 60 ft. MOD SAVE MOD SAVE MOD SAVE Str 6 -2 -2 Dex 15 +2 +2 Con 13 +1 +1 Int 10 +0 +0 Wis 12 +1 +1 Cha 10 +0 +0 Skills Perception +5, Stealth +4 Senses Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 15 Languages Understands Common and Draconic but can’t speak CR 1/4 (XP 50; PB +2) Traits Magic Resistance. The pseudodragon has Advantage on saving throws against spells and other magical effects. Actions Multiattack. The pseudodragon makes two Bite attacks. Bite. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Piercing damage. Sting. Constitution Saving Throw: DC 12, one creature the pseudodragon can see within 5 feet. Failure: 5 (2d4) Poison damage, and the target has the Poisoned condition for 1 hour. Failure by 5 or More: While Poisoned, the target also has the Unconscious condition, which ends early if the target takes damage or a creature within 5 feet of it takes an action to wake it.",SRD 5.2.1 p. 316
1/4,Sprite,Fey,Tiny,Neutral Good,15,10 (4d4),"10 ft., Fly 40 ft.",4,"{""str"":{""score"":3,""mod"":-4,""save"":-4},""dex"":{""score"":18,""mod"":4,""save"":4},""con"":{""score"":10,""mod"":0,""save"":0},""int"":{""score"":14,""mod"":2,""save"":2},""wis"":{""score"":13,""mod"":1,""save"":1},""cha"":{""score"":11,""mod"":0,""save"":0}}",condition-or-control | save-or-complex-action | spellcasting,attack-roll | aura | condition:charmed | damage | damage:piercing | saving-throw | spellcasting,action:Needle Sword | action:Enchanting Bow | action:Heart Sight | action:Invisibility,,"Needle Sword. Melee Attack Roll: +6, reach 5 ft. Hit: 6 (1d4 + 4) Piercing damage. Enchanting Bow. Ranged Attack Roll: +6, range 40/160 ft. Hit: 1 Piercing damage, and the target has the Charmed condition until the start of the sprite’s next turn. Heart Sight. Charisma Saving Throw: DC 10, one creature within 5 feet the sprite can see (Celestials, Fiends, and Undead automatically fail the save). Failure: The sprite knows the target’s emotions and alignment. Invisibility. The sprite casts Invisibility on itself, requiring no spell components and using Charisma as the spellcasting ability.",,,,"AC 15 Initiative +4 (14) HP 10 (4d4) Speed 10 ft., Fly 40 ft. MOD SAVE MOD SAVE MOD SAVE Str 3 -4 -4 Dex 18 +4 +4 Con 10 +0 +0 Int 14 +2 +2 Wis 13 +1 +1 Cha 11 +0 +0 Skills Perception +3, Stealth +8 Senses Passive Perception 13 Languages Common, Elvish, Sylvan CR 1/4 (XP 50; PB +2) Actions Needle Sword. Melee Attack Roll: +6, reach 5 ft. Hit: 6 (1d4 + 4) Piercing damage. Enchanting Bow. Ranged Attack Roll: +6, range 40/160 ft. Hit: 1 Piercing damage, and the target has the Charmed condition until the start of the sprite’s next turn. Heart Sight. Charisma Saving Throw: DC 10, one creature within 5 feet the sprite can see (Celestials, Fiends, and Undead automatically fail the save). Failure: The sprite knows the target’s emotions and alignment. Invisibility. The sprite casts Invisibility on itself, requiring no spell components and using Charisma as the spellcasting ability.",SRD 5.2.1 p. 329
1/4,Steam Mephit,Elemental,Small,Neutral Evil,10,17 (5d6),"30 ft., Fly 30 ft.",0,"{""str"":{""score"":5,""mod"":-3,""save"":-3},""dex"":{""score"":11,""mod"":0,""save"":0},""con"":{""score"":10,""mod"":0,""save"":0},""int"":{""score"":11,""mod"":0,""save"":0},""wis"":{""score"":10,""mod"":0,""save"":0},""cha"":{""score"":12,""mod"":1,""save"":1}}",limited-use | save-or-complex-action | trait,attack-roll | condition:incapacitated | damage | damage:fire | damage:slashing | death-trigger | disadvantage | recharge | saving-throw,trait:Blurred Form | trait:Death Burst | action:Claw | action:Steam Breath (Recharge 6),"Blurred Form. Attack rolls against the mephit are made with Disadvantage unless the mephit has the Incapacitated condition. Death Burst. The mephit explodes when it dies. Dexterity Saving Throw: DC 10, each creature in a 5-foot Emanation originating from the mephit. Failure: 5 (2d4) Fire damage. Success: Half damage.","Claw. Melee Attack Roll: +2, reach 5 ft. Hit: 2 (1d4) Slashing damage plus 2 (1d4) Fire damage. Steam Breath (Recharge 6). Constitution Saving Throw: DC 10, each creature in a 15-foot Cone. Failure: 5 (2d4) Fire damage, and the target’s Speed decreases by 10 feet until the end of the mephit’s next turn. Success: Half damage only. Failure or Success: Being underwater doesn’t grant Resistance to this Fire damage.",,,,"AC 10 Initiative +0 (10) HP 17 (5d6) Speed 30 ft., Fly 30 ft. MOD SAVE MOD SAVE MOD SAVE Str 5 -3 -3 Dex 11 +0 +0 Con 10 +0 +0 Int 11 +0 +0 Wis 10 +0 +0 Cha 12 +1 +1 Skills Stealth +2 Immunities Fire, Poison; Exhaustion, Poisoned Senses Darkvision 60 ft.; Passive Perception 10 Languages Primordial (Aquan, Ignan) CR 1/4 (XP 50; PB +2) Traits Blurred Form. Attack rolls against the mephit are made with Disadvantage unless the mephit has the Incapacitated condition. Death Burst. The mephit explodes when it dies. Dexterity Saving Throw: DC 10, each creature in a 5-foot Emanation originating from the mephit. Failure: 5 (2d4) Fire damage. Success: Half damage. Actions Claw. Melee Attack Roll: +2, reach 5 ft. Hit: 2 (1d4) Slashing damage plus 2 (1d4) Fire damage. Steam Breath (Recharge 6). Constitution Saving Throw: DC 10, each creature in a 15-foot Cone. Failure: 5 (2d4) Fire damage, and the target’s Speed decreases by 10 feet until the end of the mephit’s next turn. Success: Half damage only. Failure or Success: Being underwater doesn’t grant Resistance to this Fire damage.",SRD 5.2.1 p. 308
1/4,Swarm of Ravens,Swarm of Tiny Beasts,Medium,Unaligned,12,11 (2d8 + 2),"10 ft., Fly 50 ft.",2,"{""str"":{""score"":6,""mod"":-2,""save"":-2},""dex"":{""score"":14,""mod"":2,""save"":2},""con"":{""score"":12,""mod"":1,""save"":1},""int"":{""score"":5,""mod"":-3,""save"":-3},""wis"":{""score"":12,""mod"":1,""save"":1},""cha"":{""score"":6,""mod"":-2,""save"":-2}}",limited-use | save-or-complex-action,attack-roll | condition:deafened | damage | damage:piercing | disadvantage | healing | recharge | saving-throw | temporary-hp,trait:Swarm | action:Beaks | action:Cacophony (Recharge 6),"Swarm. The swarm can occupy another creature’s space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can’t regain Hit Points or gain Temporary Hit Points.","Beaks. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Piercing damage, or 2 (1d4) Piercing damage if the swarm is Bloodied. Cacophony (Recharge 6). Wisdom Saving Throw: DC 10, one creature in the swarm’s space. Failure: The target has the Deafened condition until the start of the swarm’s next turn. While Deafened, the target also has Disadvantage on ability checks and attack rolls.",,,,"AC 12 Initiative +2 (12) HP 11 (2d8 + 2) Speed 10 ft., Fly 50 ft. MOD SAVE MOD SAVE MOD SAVE Str 6 -2 -2 Dex 14 +2 +2 Con 12 +1 +1 Int 5 -3 -3 Wis 12 +1 +1 Cha 6 -2 -2 Skills Perception +5 Resistances Bludgeoning, Piercing, Slashing Immunities Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned Senses Passive Perception 15 Languages None CR 1/4 (XP 50; PB +2) Traits Swarm. The swarm can occupy another creature’s space and vice versa, and the swarm can move through any opening large enough for a Tiny raven. The swarm can’t regain Hit Points or gain Temporary Hit Points. Actions Beaks. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2) Piercing damage, or 2 (1d4) Piercing damage if the swarm is Bloodied. Cacophony (Recharge 6). Wisdom Saving Throw: DC 10, one creature in the swarm’s space. Failure: The target has the Deafened condition until the start of the swarm’s next turn. While Deafened, the target also has Disadvantage on ability checks and attack rolls.",SRD 5.2.1 p. 362
1/2,Cockatrice,Monstrosity,Small,Unaligned,11,22 (5d6 + 5),"20 ft., Fly 40 ft.",1,"{""str"":{""score"":6,""mod"":-2,""save"":-2},""dex"":{""score"":12,""mod"":1,""save"":1},""con"":{""score"":12,""mod"":1,""save"":1},""int"":{""score"":2,""mod"":-4,""save"":-4},""wis"":{""score"":13,""mod"":1,""save"":1},""cha"":{""score"":5,""mod"":-3,""save"":-3}}",condition-or-control | save-or-complex-action,attack-roll | condition:petrified | condition:restrained | damage | damage:piercing | repeat-save | saving-throw,action:Petrifying Bite,,"Petrifying Bite. Melee Attack Roll: +3, reach 5 ft. Hit: 3 (1d4 + 1) Piercing damage. If the target is a creature, it is subjected to the following effect. Constitution Saving Throw: DC 11. First Failure: The target has the Restrained condition. The target repeats the save at the end of its next turn if it is still Restrained, ending the effect on itself on a success. Second Failure: The target has the Petrified condition, instead of the Restrained condition, for 24 hours.",,,,"AC 11 Initiative +1 (11) HP 22 (5d6 + 5) Speed 20 ft., Fly 40 ft. MOD SAVE MOD SAVE MOD SAVE Str 6 -2 -2 Dex 12 +1 +1 Con 12 +1 +1 Int 2 -4 -4 Wis 13 +1 +1 Cha 5 -3 -3 Immunities Petrified Senses Darkvision 60 ft.; Passive Perception 11 Languages None CR 1/2 (XP 100; PB +2) Actions Petrifying Bite. Melee Attack Roll: +3, reach 5 ft. Hit: 3 (1d4 + 1) Piercing damage. If the target is a creature, it is subjected to the following effect. Constitution Saving Throw: DC 11. First Failure: The target has the Restrained condition. The target repeats the save at the end of its next turn if it is still Restrained, ending the effect on itself on a success. Second Failure: The target has the Petrified condition, instead of the Restrained condition, for 24 hours.",SRD 5.2.1 p. 275
1/2,Darkmantle,Aberration,Small,Unaligned,11,22 (5d6 + 5),"10 ft., Fly 30 ft.",3,"{""str"":{""score"":16,""mod"":3,""save"":3},""dex"":{""score"":12,""mod"":1,""save"":1},""con"":{""score"":13,""mod"":1,""save"":1},""int"":{""score"":2,""mod"":-4,""save"":-4},""wis"":{""score"":10,""mod"":0,""save"":0},""cha"":{""score"":5,""mod"":-3,""save"":-3}}",attachment-state | condition-or-control | limited-use | save-or-complex-action,advantage | attachment-state | attack-roll | aura | concentration | condition:blinded | damage | damage:bludgeoning | flat-modifier | limited-use,action:Crush | action:Darkness Aura (1/Day),,"Crush. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Bludgeoning damage, and the darkmantle attaches to the target. If the target is a Medium or smaller creature and the darkmantle had Advantage on the attack roll, it covers the target, which has the Blinded condition and is suffocating while the darkmantle is attached in this way. While attached to a target, the darkmantle can attack only the target but has Advantage on its attack rolls. Its Speed becomes 0, it can’t benefit from any bonus to its Speed, and it moves with the target. A creature can take an action to try to detach the darkmantle from itself, doing so with a successful DC 13 Strength (Athletics) check. On its turn, the darkmantle can detach itself by using 5 feet of movement. Darkness Aura (1/Day). Magical Darkness fills a 15-foot Emanation originating from the darkmantle. This effect lasts while the darkmantle maintains Concentration on it, up to 10 minutes. Darkvision can’t penetrate this area, and no light can illuminate it.",,,,"AC 11 Initiative +3 (13) HP 22 (5d6 + 5) Speed 10 ft., Fly 30 ft.

MOD SAVE MOD SAVE MOD SAVE Str 16 +3 +3 Dex 12 +1 +1 Con 13 +1 +1 Int 2 -4 -4 Wis 10 +0 +0 Cha 5 -3 -3 Skills Stealth +3 Senses Blindsight 60 ft.; Passive Perception 10 Languages None CR 1/2 (XP 100; PB +2) Actions Crush. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Bludgeoning damage, and the darkmantle attaches to the target. If the target is a Medium or smaller creature and the darkmantle had Advantage on the attack roll, it covers the target, which has the Blinded condition and is suffocating while the darkmantle is attached in this way. While attached to a target, the darkmantle can attack only the target but has Advantage on its attack rolls. Its Speed becomes 0, it can’t benefit from any bonus to its Speed, and it moves with the target. A creature can take an action to try to detach the darkmantle from itself, doing so with a successful DC 13 Strength (Athletics) check. On its turn, the darkmantle can detach itself by using 5 feet of movement. Darkness Aura (1/Day). Magical Darkness fills a 15-foot Emanation originating from the darkmantle. This effect lasts while the darkmantle maintains Concentration on it, up to 10 minutes. Darkvision can’t penetrate this area, and no light can illuminate it.",SRD 5.2.1 p. 278
