capability_id,observed_on_raw_ready,parse_error,complexity,source_ability_count,monster_count,ready_monster_count,blocked_monster_count,mechanics,sections,source_names,exact_fingerprints,ready_monsters,blocked_monsters
attack-roll+damage+damage:typed,True,False,3,301,256,146,110,attack-roll | damage | damage:acid | damage:bludgeoning | damage:cold | damage:fire | damage:force | damage:lightning | damage:necrotic | damage:piercing | damage:poison | damage:psychic | damage:radiant | damage:slashing | damage:thunder,action,Abyssal Glaive | Arcane Burst | Beak | Beaks | Bite | Bite (Bear or Hybrid Form Only) | Bite (Rat or Hybrid Form Only) | Bite (Tiger or Hybrid Form Only) | Bite (Wolf or Hybrid Form Only) | Bites | Bladed Arm | Bone Bow | Bone Cudgel | Burn | Burning Hammer | Channel Negative Energy | Charged Tendril | Claw | Club | Cursed Touch | Dagger | Devilish Claw | Eldritch Burst | Fiendish Touch | Fiery Bolt | Fiery Mace | Fist | Flame Spear | Flame Sword | Force Bolt | Foreleg | Frost Axe | Gore (Boar or Hybrid Form Only) | Great Bow | Greataxe | Greatclub | Greatsword | Hail of Bark | Hand Crossbow | Hand Crossbow (Humanoid or Hybrid Form Only) | Handaxe (Humanoid or Hybrid Form Only) | Harpoon | Heated Blade | Heavy Crossbow | Holy Mace | Hooves | Hurl Flame | Javelin | Javelin (Humanoid or Hybrid Form Only) | Light Crossbow | Lightning Blade | Longbow | Longbow (Humanoid or Hybrid Form Only) | Longsword | Mace | Necrotic Bow | Necrotic Ray | Necrotic Sword | Needle Sword | Ocean Spear | Pact Blade | Pike | Pistol | Poison Burst | Poison Ray | Pseudopod | Radiant Flame | Radiant Horn | Radiant Sword | Rake | Ram | Rapier | Rend | Rend (Bear or Hybrid Form Only) | Restless Touch | Ritual Sickle | Rotting Touch | Scimitar | Scratch | Searing Fork | Shock | Shortbow | Shortsword | Shred | Slam | Slash | Snake Hair | Spear | Sting | Stone Club | Storm Blade | Storm Sword | Tail | Tail Spike | Tail Stinger | Talons | Tentacles | Thorn Burst | Thunderous Mace | Thunderous Slam | Touch | Verdant Wisp | Vile Slime | Vine Lash | Vine Staff | Warhammer | Wind Swipe | Withering Sword | Withering Touch,attack-roll+damage+damage:acid | attack-roll+damage+damage:acid+damage:slashing | attack-roll+damage+damage:bludgeoning | attack-roll+damage+damage:bludgeoning+damage:cold | attack-roll+damage+damage:bludgeoning+damage:fire | attack-roll+damage+damage:bludgeoning+damage:force | attack-roll+damage+damage:bludgeoning+damage:lightning | attack-roll+damage+damage:bludgeoning+damage:poison | attack-roll+damage+damage:bludgeoning+damage:psychic | attack-roll+damage+damage:bludgeoning+damage:radiant | attack-roll+damage+damage:bludgeoning+damage:thunder | attack-roll+damage+damage:cold+damage:piercing | attack-roll+damage+damage:cold+damage:slashing | attack-roll+damage+damage:fire | attack-roll+damage+damage:fire+damage:force | attack-roll+damage+damage:fire+damage:piercing | attack-roll+damage+damage:fire+damage:slashing | attack-roll+damage+damage:force | attack-roll+damage+damage:force+damage:lightning | attack-roll+damage+damage:force+damage:slashing | attack-roll+damage+damage:lightning | attack-roll+damage+damage:lightning+damage:piercing | attack-roll+damage+damage:lightning+damage:slashing | attack-roll+damage+damage:necrotic | attack-roll+damage+damage:necrotic+damage:piercing | attack-roll+damage+damage:necrotic+damage:slashing | attack-roll+damage+damage:piercing | attack-roll+damage+damage:piercing+damage:poison | attack-roll+damage+damage:piercing+damage:radiant | attack-roll+damage+damage:poison | attack-roll+damage+damage:poison+damage:slashing | attack-roll+damage+damage:psychic | attack-roll+damage+damage:psychic+damage:slashing | attack-roll+damage+damage:radiant | attack-roll+damage+damage:radiant+damage:slashing | attack-roll+damage+damage:slashing | attack-roll+damage+damage:thunder,Air Elemental | Allosaurus | Animated Armor | Animated Flying Sword | Ape | Archelon | Awakened Shrub | Awakened Tree | Axe Beak | Azer Sentinel | Baboon | Badger | Bandit | Bandit Captain | Bat | Berserker | Black Bear | Black Dragon Wyrmling | Blink Dog | Blood Hawk | Blue Dragon Wyrmling | Bone Devil | Bronze Dragon Wyrmling | Brown Bear | Bugbear Stalker | Camel | Cat | Chimera | Commoner | Constrictor Snake | Crab | Cultist | Deer | Draft Horse | Dragon Turtle | Druid | Dryad | Eagle | Earth Elemental | Fire Giant | Flying Snake | Frog | Gargoyle | Ghoul | Giant Ape | Giant Badger | Giant Bat | Giant Constrictor Snake | Giant Eagle | Giant Fire Beetle | Giant Lizard | Giant Owl | Giant Rat | Giant Scorpion | Giant Seahorse | Giant Venomous Snake | Giant Wasp | Giant Weasel | Giant Wolf Spider | Gladiator | Goat | Goblin Minion | Green Dragon Wyrmling | Grick | Grimlock | Guard | Guard Captain | Hawk | Hell Hound | Hezrou | Hippogriff | Hippopotamus | Hobgoblin Captain | Hobgoblin Warrior | Hyena | Imp | Jackal | Killer Whale | Knight | Kobold Warrior | Lemure | Lion | Lizard | Magma Mephit | Magmin | Manticore | Marilith | Merfolk Skirmisher | Merrow | Minotaur Skeleton | Minotaur of Baphomet | Mule | Nightmare | Noble | Ogre | Ogre Zombie | Owl | Owlbear | Panther | Pegasus | Pirate | Plesiosaurus | Polar Bear | Pony | Pteranodon | Rat | Raven | Red Dragon Wyrmling | Reef Shark | Riding Horse | Saber-Toothed Tiger | Sahuagin Warrior | Satyr | Scorpion | Scout | Skeleton | Spider | Spy | Swarm of Bats | Swarm of Insects | Swarm of Rats | Swarm of Venomous Snakes | Tough | Tough Boss | Troll Limb | Venomous Snake | Violet Fungus | Vulture | Warrior Infantry | Warrior Veteran | Weasel | Werebear | Wereboar | Wererat | Weretiger | Werewolf | White Dragon Wyrmling | Wyvern | Xorn | Young Black Dragon | Young Blue Dragon | Young Bronze Dragon | Young Green Dragon | Young Red Dragon | Young White Dragon | Zombie,Adult Black Dragon | Adult Blue Dragon | Adult Brass Dragon | Adult Bronze Dragon | Adult Copper Dragon | Adult Gold Dragon | Adult Green Dragon | Adult Red Dragon | Adult Silver Dragon | Adult White Dragon | Ancient Black Dragon | Ancient Blue Dragon | Ancient Brass Dragon | Ancient Bronze Dragon | Ancient Copper Dragon | Ancient Gold Dragon | Ancient Green Dragon | Ancient Red Dragon | Ancient Silver Dragon | Ancient White Dragon | Archmage | Assassin | Balor | Barbed Devil | Basilisk | Behir | Brass Dragon Wyrmling | Bulette | Centaur Trooper | Cloaker | Cloud Giant | Copper Dragon Wyrmling | Cultist Fanatic | Deva | Djinni | Dretch | Drider | Dust Mephit | Efreeti | Erinyes | Ettercap | Fire Elemental | Flesh Golem | Frost Giant | Gelatinous Cube | Ghast | Ghost | Giant Hyena | Giant Spider | Gnoll Warrior | Gold Dragon Wyrmling | Green Hag | Guardian Naga | Half-Dragon | Harpy | Horned Devil | Hydra | Ice Devil | Ice Mephit | Incubus | Invisible Stalker | Iron Golem | Lamia | Lich | Mage | Medusa | Mummy Lord | Nalfeshnee | Night Hag | Ochre Jelly | Octopus | Oni | Pirate Captain | Pit Fiend | Planetar | Priest | Priest Acolyte | Pseudodragon | Purple Worm | Rakshasa | Roc | Roper | Rust Monster | Salamander | Sea Hag | Shambling Mound | Shield Guardian | Silver Dragon Wyrmling | Sphinx of Lore | Sphinx of Valor | Sphinx of Wonder | Spirit Naga | Sprite | Steam Mephit | Stone Giant | Stone Golem | Storm Giant | Succubus | Swarm of Ravens | Tarrasque | Treant | Troll | Unicorn | Vrock | Wight | Will-o’-Wisp | Young Brass Dragon | Young Copper Dragon | Young Gold Dragon | Young Silver Dragon
multiattack,True,False,1,156,156,73,83,multiattack,action,Multiattack | Multiattack (Vampire Form Only),multiattack,Air Elemental | Animated Armor | Ankylosaurus | Ape | Archelon | Bandit Captain | Black Bear | Black Dragon Wyrmling | Blue Dragon Wyrmling | Bone Devil | Bronze Dragon Wyrmling | Brown Bear | Bugbear Stalker | Chimera | Dragon Turtle | Druid | Earth Elemental | Elephant | Ettin | Fire Giant | Gargoyle | Ghoul | Giant Ape | Giant Constrictor Snake | Giant Crocodile | Giant Eagle | Giant Scorpion | Giant Shark | Gladiator | Goblin Boss | Green Dragon Wyrmling | Grick | Griffon | Guard Captain | Hell Hound | Hezrou | Hill Giant | Hippogriff | Hippopotamus | Hobgoblin Captain | Knight | Lion | Mammoth | Manticore | Marilith | Merrow | Owlbear | Phase Spider | Pirate | Polar Bear | Red Dragon Wyrmling | Saber-Toothed Tiger | Sahuagin Warrior | Scout | Tough Boss | Triceratops | Tyrannosaurus Rex | Violet Fungus | Warrior Veteran | Werebear | Wereboar | Wererat | Weretiger | Werewolf | White Dragon Wyrmling | Wyvern | Xorn | Young Black Dragon | Young Blue Dragon | Young Bronze Dragon | Young Green Dragon | Young Red Dragon | Young White Dragon,Aboleth | Adult White Dragon | Ancient White Dragon | Archmage | Assassin | Balor | Barbed Devil | Bearded Devil | Behir | Bulette | Centaur Trooper | Chain Devil | Chuul | Clay Golem | Cloaker | Death Dog | Deva | Djinni | Doppelganger | Drider | Efreeti | Erinyes | Ettercap | Fire Elemental | Flesh Golem | Frost Giant | Ghost | Gold Dragon Wyrmling | Green Hag | Guardian Naga | Half-Dragon | Horned Devil | Hydra | Ice Devil | Incubus | Invisible Stalker | Iron Golem | Kraken | Lamia | Lich | Mage | Medusa | Mummy | Mummy Lord | Nalfeshnee | Night Hag | Otyugh | Pirate Captain | Pit Fiend | Planetar | Priest | Pseudodragon | Purple Worm | Rakshasa | Roc | Roper | Rust Monster | Salamander | Shambling Mound | Shield Guardian | Silver Dragon Wyrmling | Solar | Sphinx of Lore | Sphinx of Valor | Spirit Naga | Stone Giant | Stone Golem | Storm Giant | Succubus | Tarrasque | Treant | Troll | Unicorn | Vampire | Vampire Familiar | Vampire Spawn | Vrock | Water Elemental | Wight | Young Brass Dragon | Young Copper Dragon | Young Gold Dragon | Young Silver Dragon
combat-math-none,True,False,0,55,51,4,47,,legendary-action | reaction | trait,Arcane Prowl | Berserk | Celestial Restoration | Charging Horn | Deathless Strike | Demonic Restoration | Diabolical Restoration | Eldritch Restoration | Elemental Restoration | Exalted Restoration | Fiendish Restoration | Greater Magic Resistance | Hellish Restoration | Lash | Necrotic Strike | Onslaught | Pounce | Reflexive Antennae | Spirit Jar | Tail Swipe | Wishes,combat-math-none,Bone Devil | Hezrou | Lemure | Marilith,Aboleth | Adult Black Dragon | Adult Blue Dragon | Adult Brass Dragon | Adult Bronze Dragon | Adult Copper Dragon | Adult Gold Dragon | Adult Green Dragon | Adult Red Dragon | Adult Silver Dragon | Adult White Dragon | Ancient Black Dragon | Ancient Blue Dragon | Ancient Brass Dragon | Ancient Bronze Dragon | Ancient Copper Dragon | Ancient Gold Dragon | Ancient Green Dragon | Ancient Red Dragon | Ancient Silver Dragon | Ancient White Dragon | Barbed Devil | Chain Devil | Clay Golem | Deva | Djinni | Efreeti | Erinyes | Glabrezu | Guardian Naga | Horned Devil | Ice Devil | Lich | Mummy Lord | Nalfeshnee | Pit Fiend | Planetar | Rakshasa | Rust Monster | Solar | Sphinx of Lore | Sphinx of Valor | Spirit Naga | Tarrasque | Unicorn | Vampire | Vrock
limited-use+spellcasting,True,False,6,48,39,3,36,limited-use | spellcasting,action | bonus-action | reaction,Divine Aid (1/Day) | Divine Aid (2/Day) | Divine Aid (3/Day) | Fog Cloud (1/Day) | Misty Step (3/Day) | Protective Magic (3/Day) | Sleep (1/Day) | Spellcasting | Spiritual Weapon (2/Day) | Unicorn’s Blessing (3/Day),limited-use+spellcasting,Druid | Dryad | Giant Owl,Adult Black Dragon | Adult Blue Dragon | Adult Green Dragon | Adult Red Dragon | Ancient Black Dragon | Ancient Blue Dragon | Ancient Green Dragon | Ancient Red Dragon | Archmage | Cloud Giant | Couatl | Cultist Fanatic | Deva | Djinni | Dust Mephit | Efreeti | Glabrezu | Guardian Naga | Ice Mephit | Incubus | Lamia | Lich | Mage | Mummy Lord | Night Hag | Oni | Planetar | Priest | Priest Acolyte | Rakshasa | Solar | Sphinx of Lore | Sphinx of Valor | Spirit Naga | Storm Giant | Unicorn
spellcasting,True,False,4,39,34,1,33,spellcasting,action | bonus-action | legendary-action | reaction,Beguile | Blazing Light | Charm | Chill | Cloaked Flight | Commanding Presence | Dread Command | Etherealness | Fiery Rays | Frightening Gaze | Frightful Presence | Guiding Light | Illusory Appearance | Invisibility | Mind Invasion | Mind Jolt | Misty Step | Phantasms (Recharge after a Short or Long Rest) | Protective Magic | Read Thoughts | Sonic Boom | Spellcasting,spellcasting,Imp,Adult Black Dragon | Adult Blue Dragon | Adult Brass Dragon | Adult Bronze Dragon | Adult Copper Dragon | Adult Gold Dragon | Adult Green Dragon | Adult Red Dragon | Adult Silver Dragon | Adult White Dragon | Ancient Black Dragon | Ancient Blue Dragon | Ancient Brass Dragon | Ancient Bronze Dragon | Ancient Copper Dragon | Ancient Gold Dragon | Ancient Green Dragon | Ancient Red Dragon | Ancient Silver Dragon | Ancient White Dragon | Cloaker | Cloud Giant | Doppelganger | Ghost | Lich | Mummy Lord | Oni | Priest Acolyte | Quasit | Sea Hag | Sprite | Succubus | Vampire
damage+damage:typed+recharge+saving-throw,True,False,6,50,50,18,32,damage | damage:acid | damage:cold | damage:fire | damage:lightning | damage:poison | recharge | saving-throw,action,Acid Breath (Recharge 5-6) | Acid Spray (Recharge 6) | Cold Breath (Recharge 5-6) | Fire Breath (Recharge 5-6) | Fire Breath (Recharge 6) | Frost Breath (Recharge 6) | Lightning Breath (Recharge 5-6) | Poison Breath (Recharge 5-6) | Poison Breath (Recharge 6) | Steam Breath (Recharge 5-6) | Steam Breath (Recharge 6),damage+damage:acid+recharge+saving-throw | damage+damage:cold+recharge+saving-throw | damage+damage:fire+recharge+saving-throw | damage+damage:lightning+recharge+saving-throw | damage+damage:poison+recharge+saving-throw,Ankheg | Black Dragon Wyrmling | Blue Dragon Wyrmling | Bronze Dragon Wyrmling | Chimera | Dragon Turtle | Green Dragon Wyrmling | Hell Hound | Magma Mephit | Red Dragon Wyrmling | White Dragon Wyrmling | Winter Wolf | Young Black Dragon | Young Blue Dragon | Young Bronze Dragon | Young Green Dragon | Young Red Dragon | Young White Dragon,Adult Black Dragon | Adult Blue Dragon | Adult Brass Dragon | Adult Bronze Dragon | Adult Copper Dragon | Adult Gold Dragon | Adult Green Dragon | Adult Red Dragon | Adult Silver Dragon | Adult White Dragon | Ancient Black Dragon | Ancient Blue Dragon | Ancient Brass Dragon | Ancient Bronze Dragon | Ancient Copper Dragon | Ancient Gold Dragon | Ancient Green Dragon | Ancient Red Dragon | Ancient Silver Dragon | Ancient White Dragon | Behir | Brass Dragon Wyrmling | Copper Dragon Wyrmling | Gold Dragon Wyrmling | Ice Mephit | Iron Golem | Silver Dragon Wyrmling | Steam Mephit | Young Brass Dragon | Young Copper Dragon | Young Gold Dragon | Young Silver Dragon
legendary+limited-use+saving-throw,False,False,10,32,32,0,32,legendary | limited-use | saving-throw,trait,"Legendary Resistance (3/Day) | Legendary Resistance (3/Day, or 4/Day in Lair) | Legendary Resistance (4/Day) | Legendary Resistance (4/Day, or 5/Day in Lair) | Legendary Resistance (6/Day)",legendary+limited-use+saving-throw,,Aboleth | Adult Black Dragon | Adult Blue Dragon | Adult Brass Dragon | Adult Bronze Dragon | Adult Copper Dragon | Adult Gold Dragon | Adult Green Dragon | Adult Red Dragon | Adult Silver Dragon | Adult White Dragon | Ancient Black Dragon | Ancient Blue Dragon | Ancient Brass Dragon | Ancient Bronze Dragon | Ancient Copper Dragon | Ancient Gold Dragon | Ancient Green Dragon | Ancient Red Dragon | Ancient Silver Dragon | Ancient White Dragon | Balor | Kraken | Lich | Mummy Lord | Pit Fiend | Solar | Sphinx of Lore | Sphinx of Valor | Tarrasque | Unicorn | Vampire
advantage,True,False,1,37,37,9,28,advantage,trait,Bloodied Frenzy | Bloodied Fury | Magic Resistance,advantage,Berserker | Boar | Bone Devil | Dryad | Giant Boar | Hezrou | Imp | Marilith | Satyr,Archmage | Balor | Barbed Devil | Bearded Devil | Chain Devil | Clay Golem | Deva | Djinni | Efreeti | Erinyes | Flesh Golem | Glabrezu | Horned Devil | Ice Devil | Iron Golem | Mummy Lord | Nalfeshnee | Night Hag | Pit Fiend | Planetar | Pseudodragon | Quasit | Solar | Sphinx of Wonder | Stone Golem | Tarrasque | Unicorn | Vrock
multiattack+spellcasting,True,False,5,22,22,1,21,multiattack | spellcasting,action,Multiattack,multiattack+spellcasting,Dryad,Adult Black Dragon | Adult Blue Dragon | Adult Brass Dragon | Adult Bronze Dragon | Adult Copper Dragon | Adult Gold Dragon | Adult Green Dragon | Adult Red Dragon | Adult Silver Dragon | Ancient Black Dragon | Ancient Blue Dragon | Ancient Brass Dragon | Ancient Bronze Dragon | Ancient Copper Dragon | Ancient Gold Dragon | Ancient Green Dragon | Ancient Red Dragon | Ancient Silver Dragon | Cloud Giant | Glabrezu | Oni
damage+damage:typed,True,False,2,17,16,3,13,damage | damage:acid | damage:cold | damage:fire | damage:force | damage:lightning | damage:piercing | damage:slashing,reaction | trait,Acid Absorption | Barbed Hide | Confer Fire Resistance | Fire Absorption | Fire Form | Freeze | Incorporeal Movement | Lightning Absorption | Running Water | Split | Water Susceptibility,damage+damage:acid | damage+damage:cold | damage+damage:fire | damage+damage:force | damage+damage:lightning | damage+damage:piercing | damage+damage:slashing,Nightmare | Specter | Wraith,Barbed Devil | Black Pudding | Clay Golem | Fire Elemental | Flesh Golem | Ghost | Iron Golem | Ochre Jelly | Shambling Mound | Vampire | Vampire Spawn | Water Elemental | Will-o’-Wisp
