work_rank,monster,ready,ignored_noncombat,edge_case,unsupported_count,complexity,unsupported_families,mechanics,fingerprint
6,Seahorse,False,False,False,1,0,no-attack-roll,,combat-math-none
,Awakened Tree,True,False,False,0,3,,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
,Camel,True,False,False,0,3,,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
,Crab,True,False,False,0,3,,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
,Deer,True,False,False,0,3,,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
,Draft Horse,True,False,False,0,3,,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
25,Giant Seahorse,False,False,False,2,3,bonus-action | unsupported-action-rider,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
,Goat,True,False,False,0,3,,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
,Mule,True,False,False,0,3,,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
,Pony,True,False,False,0,3,,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
,Riding Horse,True,False,False,0,3,,attack-roll | damage | damage:bludgeoning,attack-roll+damage+damage:bludgeoning
,Giant Fire Beetle,True,False,False,0,3,,attack-roll | damage | damage:fire,attack-roll+damage+damage:fire
,Badger,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Bat,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Frog,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Giant Badger,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Giant Bat,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Giant Lizard,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Giant Weasel,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Goblin Minion,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Guard,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Jackal,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Killer Whale,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Lizard,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Noble,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Plesiosaurus,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Pteranodon,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Rat,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Raven,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Skeleton,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Weasel,True,False,False,0,3,,attack-roll | damage | damage:piercing,attack-roll+damage+damage:piercing
,Lemure,True,False,False,0,3,,attack-roll | damage | damage:poison,attack-roll+damage+damage:poison
,Animated Flying Sword,True,False,False,0,3,,attack-roll | damage | damage:slashing,attack-roll+damage+damage:slashing
,Awakened Shrub,True,False,False,0,3,,attack-roll | damage | damage:slashing,attack-roll+damage+damage:slashing
,Axe Beak,True,False,False,0,3,,attack-roll | damage | damage:slashing,attack-roll+damage+damage:slashing
,Cat,True,False,False,0,3,,attack-roll | damage | damage:slashing,attack-roll+damage+damage:slashing
,Eagle,True,False,False,0,3,,attack-roll | damage | damage:slashing,attack-roll+damage+damage:slashing
,Hawk,True,False,False,0,3,,attack-roll | damage | damage:slashing,attack-roll+damage+damage:slashing
