UNIVERSAL_ENGINE_BASELINE	monster_ready=142	monster_actionable_blocked=178	monster_deferred=10	monster_families=11	planned_hero_mechanics=376
UNIVERSAL_ENGINE_MONSTER_FAMILIES
UNIVERSAL_MONSTER_FAMILY	condition-or-control	immediate_unlocks=6	affected=93	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	trait	immediate_unlocks=6	affected=81	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	save-or-complex-action	immediate_unlocks=4	affected=107	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	unclassified-source-audit-gap	immediate_unlocks=4	affected=4	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	spellcasting	immediate_unlocks=3	affected=68	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	bonus-action	immediate_unlocks=1	affected=37	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	reaction	immediate_unlocks=1	affected=13	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	limited-use	immediate_unlocks=0	affected=96	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	legendary	immediate_unlocks=0	affected=30	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	unsupported-action-rider	immediate_unlocks=0	affected=16	engine_status=unmapped
UNIVERSAL_MONSTER_FAMILY	defense-clause	immediate_unlocks=0	affected=4	engine_status=unmapped
UNIVERSAL_ENGINE_HERO_MECHANICS
UNIVERSAL_HERO_MECHANIC	boon-irresistible-offense	owners=2	classes=2	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	evasion	owners=2	classes=2	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	fighting-style	owners=2	classes=2	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	magic-initiate-cleric	owners=2	classes=2	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	feature-choice:blessed-strikes-potent-spellcasting	owners=2	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:elemental-fury-potent-spellcasting	owners=2	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	feature-choice:pact-of-the-tome	owners=2	classes=1	status=planned	kinds=feature-choice
UNIVERSAL_HERO_MECHANIC	abjuration-savant	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	abjure-foes	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	ancients-combat-spells-1	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	ancients-combat-spells-2	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	ancients-combat-spells-3	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	ancients-combat-spells-4	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	ancients-combat-spells-5	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	aquatic-affinity	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	arcane-apotheosis	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	arcane-recovery	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	arcane-trickster-magical-ambush	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	arcane-trickster-spell-thief	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	arcane-trickster-spellcasting	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	arcane-trickster-versatile-trickster	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	arcane-ward	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	archdruid	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	assassin-assassinate	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	assassin-death-strike	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	assassin-envenom-weapons	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	assassin-infiltration-expertise	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	aura-expansion	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	aura-of-courage	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	aura-of-devotion	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	aura-of-protection	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	aura-of-warding	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	avatar-of-battle	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	avenging-angel	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	awakened-mind	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	bard-combat-spells-2	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bard-combat-spells-3	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bard-combat-spells-4	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bard-combat-spells-5	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bard-combat-spells-6	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bard-combat-spells-7	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bard-combat-spells-8	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bard-combat-spells-9	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bard-spellcasting	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bardic-inspiration	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	bastion-of-law	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	battle-magic	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	battle-master-combat-superiority	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	battle-master-improved-combat-superiority	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	battle-master-know-your-enemy	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	battle-master-relentless	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	battle-master-ultimate-combat-superiority	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	beast-spells	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	beastmaster-bestial-fury	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	beastmaster-exceptional-training	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	beastmaster-primal-companion	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	beastmaster-share-spells	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	beguiling-magic	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	blessed-healer	owners=1	classes=1	status=planned	kinds=subclass-feature
UNIVERSAL_HERO_MECHANIC	blessed-strikes	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	body-and-mind	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	boon-combat-prowess	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	boon-dimensional-travel	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	boon-of-fate	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	boon-spell-recall	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	brutal-strike	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	brutal-strike-2d10	owners=1	classes=1	status=planned	kinds=base-feature
UNIVERSAL_HERO_MECHANIC	celestial-combat-spells-2	owners=1	classes=1	status=planned	kinds=subclass-feature
